season,player_name,name_key,position,team,ecr,ecr_sd,best,worst,ecr_rank,pos_rank,scrape_date,proj_ppg,proj_games,proj_points,replacement_rank,replacement_ppg,replacement_points,VORP,vorp_ppg,is_streamed,adp_rank,ffc_adp,adp_sd,bye
2026,Jonathon Brooks,jonathon brooks,RB,CAR,96.61,30.04,65.0,243.0,91,32,2026-08-21,8.615030932286485,13.589589235737401,117.07473162294517,28,9.217244954749557,127.0929008726215,-10.018169249676333,-0.6022140224630714,False,91,92.2,12.7,5.0
2026,Oronde Gadsden II,oronde gadsden,TE,LAC,189.9,42.66,97.0,261.0,179,21,2026-08-21,5.671285977466256,14.411814131742046,81.73351939519868,16,6.4466510716284615,92.90793701650507,-11.17441762130639,-0.7753650941622059,False,179,,16.457084057790723,
2026,Chris Godwin Jr.,chris godwin,WR,TB,78.07,14.49,48.0,123.0,76,34,2026-08-21,8.993649925218005,14.288366157211863,128.50456322129594,28,9.70410835216612,140.31628944882755,-11.811726227531608,-0.7104584269481151,False,76,76.6,8.1,10.0
2026,Chuba Hubbard,chuba hubbard,RB,CAR,97.7,14.91,72.0,141.0,92,33,2026-08-21,8.473291906274197,13.54118217453141,114.73838932084143,28,9.217244954749557,127.0929008726215,-12.354511551780064,-0.74395304847536,False,92,84.2,11.1,5.0
2026,T.J. Hockenson,tj hockenson,TE,MIN,192.08,23.41,138.0,246.0,183,22,2026-08-21,5.5345080641777455,14.411814131742046,79.76230153155714,16,6.4466510716284615,92.90793701650507,-13.145635484947931,-0.912143007450716,False,183,,16.762148722456537,
2026,DK Metcalf,dk metcalf,WR,PIT,79.67,13.86,51.0,121.0,79,35,2026-08-21,8.88404725655695,14.260561773991572,126.69150470519075,28,9.70410835216612,140.31628944882755,-13.624784743636795,-0.8200610956091694,False,79,63.9,6.9,9.0
2026,Bo Nix,bo nix,QB,DEN,101.01,9.03,74.0,126.0,100,14,2026-08-21,16.147002206900005,13.860501335736833,223.8055456568831,12,17.13447293279512,238.13776965069272,-14.332223993809606,-0.9874707258951148,False,100,112.1,14.8,10.0
2026,Kenny Gainwell,kenny gainwell,RB,TB,100.79,15.08,65.0,135.0,99,34,2026-08-21,8.334724336556393,13.493308914354298,112.46301018914208,28,9.217244954749557,127.0929008726215,-14.629890683479417,-0.8825206181931637,False,99,99.8,12.7,10.0
2026,Greg Dulcich,greg dulcich,TE,MIA,202.86,41.65,131.0,300.0,201,23,2026-08-21,5.402682416964324,14.407984088508934,77.84176229888897,16,6.4466510716284615,92.90793701650507,-15.066174717616107,-1.0439686546641376,False,201,,18.134939713452706,
2026,Michael Pittman Jr.,michael pittman,WR,PIT,81.58,13.54,45.0,114.0,81,36,2026-08-21,8.776653397877363,14.23297858850088,124.91791989068199,28,9.70410835216612,140.31628944882755,-15.39836955814556,-0.9274549542887573,False,81,80.9,8.0,9.0
2026,J.K. Dobbins,jk dobbins,RB,DEN,102.35,16.32,78.0,143.0,103,35,2026-08-21,8.199174622281705,13.445964543740592,110.24581125913747,28,9.217244954749557,127.0929008726215,-16.84708961348403,-1.0180703324678522,False,103,77.8,9.4,10.0
2026,AJ Barner,aj barner,TE,SEA,207.34,22.88,144.0,254.0,204,24,2026-08-21,5.2754344007739,14.394649515260932,75.93802923989087,16,6.4466510716284615,92.90793701650507,-16.969907776614207,-1.1712166708545615,False,204,,18.363738211952068,
2026,Courtland Sutton,courtland sutton,WR,DEN,83.44,14.88,49.0,116.0,83,37,2026-08-21,8.671371052062373,14.205619670718372,123.18219918927511,28,9.70410835216612,140.31628944882755,-17.134090259552437,-1.0327373001037472,False,83,58.9,5.7,10.0
2026,Gunnar Helm,gunnar helm,TE,TEN,217.41,29.04,138.0,290.0,216,25,2026-08-21,5.152431517513223,14.381231602175195,74.09831096770466,16,6.4466510716284615,92.90793701650507,-18.80962604880041,-1.2942195541152381,False,216,,19.278932205949513,
2026,Josh Downs,josh downs,WR,IND,85.85,14.75,49.0,133.0,85,38,2026-08-21,8.568109457160581,14.178487045241393,121.48282894056156,28,9.70410835216612,140.31628944882755,-18.833460508265986,-1.1359988950055389,False,85,89.9,8.0,13.0
2026,Rachaad White,rachaad white,RB,WAS,108.02,15.81,72.0,146.0,109,36,2026-08-21,8.066500463435135,13.3991431195025,108.08419418310062,28,9.217244954749557,127.0929008726215,-19.008706689520878,-1.1507444913144216,False,109,121.1,11.0,7.0
2026,Wan'Dale Robinson,wan dale robinson,WR,TEN,85.91,15.34,45.0,123.0,86,39,2026-08-21,8.466783803424404,14.151581861461633,119.81838409745792,28,9.70410835216612,140.31628944882755,-20.497905351369624,-1.2373245487417162,False,86,93.4,8.3,9.0
2026,Terrance Ferguson,terrance ferguson,TE,LAR,221.7,35.77,138.0,290.0,224,26,2026-08-21,5.0333772262720835,14.367761033304157,72.3183611775526,16,6.4466510716284615,92.90793701650507,-20.58957583895247,-1.413273845356378,False,224,,19.889061535281144,
2026,Matthew Stafford,matthew stafford,QB,LAR,104.27,13.41,59.0,147.0,104,15,2026-08-21,15.672118578623445,13.860501335736833,217.2234204928363,12,17.13447293279512,238.13776965069272,-20.914349157856407,-1.4623543541716746,False,104,75.4,11.4,11.0
2026,Blake Corum,blake corum,RB,LAR,110.43,14.59,80.0,143.0,110,37,2026-08-21,7.936569758485545,13.352837897180706,105.97572944472411,28,9.217244954749557,127.0929008726215,-21.11717142789739,-1.2806751962640117,False,110,121.5,14.1,11.0
2026,Michael Wilson,michael wilson,WR,ARI,88.08,15.88,62.0,133.0,88,40,2026-08-21,8.367314714541092,14.1249045360367,118.1875215658681,28,9.70410835216612,140.31628944882755,-22.12876788295945,-1.3367936376250285,False,88,75.1,7.4,14.0
2026,Kenyon Sadiq,kenyon sadiq,TE,NYJ,222.64,32.53,158.0,377.0,225,27,2026-08-21,4.918005866032066,14.354263228279127,70.59435075924512,16,6.4466510716284615,92.90793701650507,-22.313586257259956,-1.528645205596396,False,225,,19.965327701447595,
2026,Kyle Monangai,kyle monangai,RB,CHI,112.14,15.39,78.0,160.0,111,38,2026-08-21,7.809259634694837,13.307041518399407,103.91814218684478,28,9.217244954749557,127.0929008726215,-23.174758685776723,-1.4079853200547197,False,111,96.2,12.0,10.0
2026,Alec Pierce,alec pierce,WR,IND,98.93,21.0,64.0,170.0,95,41,2026-08-21,8.269627784717096,14.09845487251458,116.5889741353267,28,9.70410835216612,140.31628944882755,-23.727315313500853,-1.4344805674490235,False,95,60.2,6.8,13.0
2026,Pat Freiermuth,pat freiermuth,TE,PIT,238.08,29.27,138.0,333.0,241,28,2026-08-21,4.806078451625864,14.340759300276236,68.92281425301083,16,6.4466510716284615,92.90793701650507,-23.985122763494246,-1.6405726200025974,False,241,,21.185586360110857,
2026,Aaron Jones Sr.,aaron jones,RB,MIN,113.87,16.59,78.0,146.0,114,39,2026-08-21,7.684455592249352,13.261746163429654,101.90929946855839,28,9.217244954749557,127.0929008726215,-25.18360140406311,-1.5327893625002051,False,114,108.0,13.7,6.0
2026,Quentin Johnston,quentin johnston,WR,LAC,99.56,15.05,69.0,149.0,96,42,2026-08-21,8.173653164515784,14.0722321620409,115.02154494306639,28,9.70410835216612,140.31628944882755,-25.29474450576116,-1.530455187650336,False,96,87.7,7.9,7.0
2026,Cade Otton,cade otton,TE,TB,242.1,22.06,168.0,309.0,246,29,2026-08-21,4.697379167683521,14.327266819333715,67.30060468698153,16,6.4466510716284615,92.90793701650507,-25.607332329523544,-1.7492719039449405,False,246,,21.566917190943126,
2026,Stefon Diggs,stefon diggs,WR,WAS,100.04,36.19,51.0,225.0,97,43,2026-08-21,8.079325189381882,14.046235268344088,113.48410241951656,28,9.70410835216612,140.31628944882755,-26.832187029310987,-1.6247831627842384,False,97,95.8,9.1,7.0
2026,Jacory Croskey-Merritt,jacory croskey merritt,RB,WAS,117.51,11.88,80.0,143.0,116,40,2026-08-21,7.562050746437362,13.216943675555067,99.94719878735177,28,9.217244954749557,127.0929008726215,-27.145702085269733,-1.6551942083121949,False,116,102.7,15.0,7.0
2026,David Njoku,david njoku,TE,LAC,252.24,26.72,173.0,345.0,257,30,2026-08-21,4.591712425178894,14.313800425055447,65.72485526325804,16,6.4466510716284615,92.90793701650507,-27.183081753247038,-1.8549386464495674,False,257,,22.40584501877412,
2026,Jared Goff,jared goff,QB,DET,107.15,11.23,63.0,146.0,108,16,2026-08-21,15.209464796826918,13.860501335736833,210.81080713226183,12,17.13447293279512,238.13776965069272,-27.32696251843089,-1.925008135968202,False,108,101.0,13.5,6.0
2026,Jakobi Meyers,jakobi meyers,WR,JAC,101.99,17.89,55.0,163.0,102,44,2026-08-21,7.986582045650903,14.020462699607773,111.97557566840563,28,9.70410835216612,140.31628944882755,-28.340713780421922,-1.717526306515217,False,102,85.5,7.5,7.0
2026,Evan Engram,evan engram,TE,DEN,254.49,27.08,181.0,306.0,259,31,2026-08-21,4.488900374992454,14.30037232176559,64.19294667770527,16,6.4466510716284615,92.90793701650507,-28.714990338799808,-1.9577506966360074,False,259,,22.558377351107026,
2026,Jordan Mason,jordan mason,RB,MIN,118.74,16.92,77.0,182.0,118,41,2026-08-21,7.441945154601907,13.172625662502208,98.02995772244304,28,9.217244954749557,127.0929008726215,-29.062943150178455,-1.7752998001476499,False,118,114.8,16.2,6.0
2026,Jayden Reed,jayden reed,WR,GB,106.04,13.84,78.0,132.0,105,45,2026-08-21,7.895365469568657,13.994912669370345,110.49495023937554,28,9.70410835216612,140.31628944882755,-29.821339209452006,-1.8087428825974632,False,105,89.1,8.7,11.0
2026,Colby Parkinson,colby parkinson,TE,LAR,264.34,21.76,209.0,352.0,279,32,2026-08-21,4.3887807954173415,14.286992681184817,62.702479103452035,16,6.4466510716284615,92.90793701650507,-30.20545791305304,-2.05787027621112,False,279,,24.083700674436102,
2026,Chris Rodriguez Jr.,chris rodriguez,RB,JAC,139.48,15.6,116.0,231.0,133,42,2026-08-21,7.32404521665749,13.12878357915518,96.1558045734429,28,9.217244954749557,127.0929008726215,-30.937096299178606,-1.8931997380920667,False,133,157.6,19.9,7.0
2026,Jordan Addison,jordan addison,WR,MIN,106.59,14.92,71.0,150.0,106,46,2026-08-21,7.8056204754587295,13.96958314821399,109.04126425532235,28,9.70410835216612,140.31628944882755,-31.2750251935052,-1.8984878767073905,False,106,86.8,8.7,6.0
2026,Mason Taylor,mason taylor,TE,NYJ,271.47,29.67,196.0,353.0,294,33,2026-08-21,4.291205287706751,14.273669971809875,61.251248058011605,16,6.4466510716284615,92.90793701650507,-31.65668895849347,-2.155445783921711,False,294,,25.22769316693291,
2026,Makai Lemon,makai lemon,WR,PHI,106.63,17.88,69.0,163.0,107,47,2026-08-21,7.717295109694687,13.944471907699699,107.61360486056583,28,9.70410835216612,140.31628944882755,-32.70268458826172,-1.9868132424714329,False,107,111.0,9.2,10.0
2026,Woody Marks,woody marks,RB,HOU,139.76,13.95,89.0,168.0,135,43,2026-08-21,7.208263139659927,13.085408794952704,94.3230698840394,28,9.217244954749557,127.0929008726215,-32.7698309885821,-2.00898181508963,False,135,139.8,16.0,8.0
2026,Darren Waller,darren waller,TE,CAR,273.3,40.54,203.0,361.0,296,34,2026-08-21,4.196037726979523,14.260411229796834,59.837223522469976,16,6.4466510716284615,92.90793701650507,-33.0707134940351,-2.2506133446489383,False,296,,25.380225499265816,
2026,Kyler Murray,kyler murray,QB,MIN,112.34,11.28,59.0,139.0,112,17,2026-08-21,14.758641153577168,13.860501335736833,204.56216542281692,12,17.13447293279512,238.13776965069272,-33.5756042278758,-2.375831779217952,False,112,137.1,10.6,6.0
2026,Khalil Shakir,khalil shakir,WR,BUF,120.35,15.44,83.0,163.0,121,48,2026-08-21,7.630340227574035,13.91957655775674,106.21110495944775,28,9.70410835216612,140.31628944882755,-34.105184489379795,-2.0737681245920854,False,121,107.9,7.2,7.0
2026,Mike Gesicki,mike gesicki,TE,CIN,276.0,23.89,229.0,351.0,300,35,2026-08-21,4.103152926064483,14.2472222828578,58.45853179819908,16,6.4466510716284615,92.90793701650507,-34.44940521830599,-2.343498145563979,False,300,,25.68529016393163,
2026,Tyler Allgeier,tyler allgeier,RB,ARI,139.94,13.29,109.0,180.0,136,44,2026-08-21,7.09451645832988,13.042492648715893,92.53017875396138,28,9.217244954749557,127.0929008726215,-34.56272211866012,-2.1227284964196764,False,136,154.5,24.2,14.0
2026,KC Concepcion,kc concepcion,WR,CLE,122.14,22.5,79.0,210.0,123,49,2026-08-21,7.544709290566523,13.894894578532487,104.83294021809647,28,9.70410835216612,140.31628944882755,-35.48334923073108,-2.159399061599597,False,123,116.2,11.2,11.0
2026,Eli Stowers,eli stowers,TE,PHI,277.63,33.82,207.0,372.0,302,36,2026-08-21,4.012435477897352,14.234107936188078,57.1134396793813,16,6.4466510716284615,92.90793701650507,-35.79449733712377,-2.4342155937311096,False,302,,25.83782249626454,
2026,Tyjae Spears,tyjae spears,RB,TEN,141.47,15.18,99.0,201.0,137,45,2026-08-21,6.982727604606654,13.000026493137785,90.77564385425104,28,9.217244954749557,127.0929008726215,-36.317257018370455,-2.2345173501429025,False,137,139.0,15.3,9.0
2026,Jalen Coker,jalen coker,WR,CAR,123.74,17.6,90.0,168.0,124,50,2026-08-21,7.4603581817298705,13.870423347542717,103.47832630489732,28,9.70410835216612,140.31628944882755,-36.837963143930224,-2.2437501704362495,False,124,117.0,9.3,5.0
