player_name,position,proj_ppg_2025,VORP,adp_rank
Jayden Reed,WR,9.894444444444446,-1.572222222222221,105.0
Marvin Harrison,WR,9.852941176470589,-1.613725490196078,38.0
Foster Moreau,TE,5.819999999999999,-1.6388235294117663,
Payne Durham,TE,5.8,-1.658823529411766,
Rashod Bateman,WR,9.783333333333335,-1.6833333333333318,183.0
Zack Moss,RB,9.05,-1.7088235294117649,
Noah Fant,TE,5.714285714285714,-1.7445378151260513,
carolina panthers,DEF,-1.1309575447503564,-1.7647058823529411,
Devin Culp,TE,5.65,-1.8088235294117654,
Jake Ferguson,TE,5.635714285714286,-1.8231092436974796,117.0
Tua Tagovailoa,QB,17.143636363636364,-1.8470303030303015,145.0
Russell Wilson,QB,17.098333333333333,-1.8923333333333332,
Dalton Kincaid,TE,5.55625,-1.9025735294117654,114.0
Khalil Shakir,WR,9.494444444444445,-1.9722222222222214,130.0
Will Dissly,TE,5.48125,-1.9775735294117656,
Chigoziem Okonkwo,TE,5.4750000000000005,-1.9838235294117652,182.0
Dalton Schultz,TE,5.436842105263159,-2.021981424148607,
Noah Gray,TE,5.377777777777777,-2.0810457516339884,
Theo Johnson,TE,5.36,-2.0988235294117654,
Deebo Samuel,WR,9.292857142857144,-2.1738095238095223,95.0
Alexander Mattison,RB,8.528571428571428,-2.230252100840337,
Brenton Strange,TE,5.221428571428572,-2.2373949579831933,202.0
Tank Bigsby,RB,8.500000000000002,-2.258823529411764,112.0
Nick Westbrook-Ikhine,WR,9.207692307692309,-2.258974358974358,
Quentin Johnston,WR,9.200000000000001,-2.2666666666666657,
Austin Hooper,TE,5.18235294117647,-2.276470588235296,
Geno Smith,QB,16.529411764705884,-2.461254901960782,138.0
Allen Lazard,WR,8.958333333333334,-2.508333333333333,
Jerome Ford,RB,8.25,-2.5088235294117656,176.0
Ameer Abdullah,RB,8.246153846153847,-2.5126696832579185,
Alec Pierce,WR,8.93125,-2.5354166666666664,
Justin Herbert,QB,16.448888888888888,-2.541777777777778,104.0
Tyjae Spears,RB,8.216666666666667,-2.5421568627450988,175.0
Kristian Wilkerson,WR,8.8,-2.666666666666666,194.0
Joe Flacco,QB,16.291428571428572,-2.699238095238094,
Anthony Richardson,QB,16.26,-2.7306666666666644,149.0
Jalen McMillan,WR,8.714285714285714,-2.7523809523809533,75.0
Tommy Tremble,TE,4.6899999999999995,-2.7688235294117662,
Josh Oliver,TE,4.6499999999999995,-2.8088235294117663,
Nick Chubb,RB,7.85,-2.908823529411766,144.0
Javonte Williams,RB,7.844444444444445,-2.9143790849673206,142.0
A.J. Barner,TE,4.535714285714286,-2.92310924369748,
Jordan Akins,TE,4.4375,-3.0213235294117657,
Luke Schoonmaker,TE,4.36,-3.0988235294117654,
Michael Pittman,WR,8.33125,-3.135416666666666,156.0
Dak Prescott,QB,15.815,-3.1756666666666664,89.0
Travis Etienne,RB,7.513333333333334,-3.245490196078432,110.0
Aaron Rodgers,QB,15.739999999999998,-3.2506666666666675,133.0
Tank Dell,WR,8.178571428571429,-3.288095238095238,
Stone Smartt,TE,4.114285714285715,-3.344537815126051,
Caleb Williams,QB,15.561176470588236,-3.4294901960784294,109.0
Wan'Dale Robinson,WR,8.011764705882355,-3.454901960784312,
Justice Hill,RB,7.252941176470588,-3.5058823529411773,
Derek Carr,QB,15.39,-3.6006666666666653,
Chris Olave,WR,7.8375,-3.6291666666666664,79.0
Romeo Doubs,WR,7.814285714285714,-3.6523809523809527,81.0
Jordan Love,QB,15.33375,-3.6569166666666657,123.0
Ricky Pearsall,WR,7.8,-3.666666666666667,99.0
Ja'Tavion Sanders,TE,3.7800000000000002,-3.6788235294117655,
Jaylen Waddle,WR,7.7733333333333325,-3.6933333333333342,66.0
Jaylen Warren,RB,6.9750000000000005,-3.783823529411765,86.0
E.J. Jenkins,TE,3.6,-3.8588235294117657,
Colby Parkinson,TE,3.5647058823529414,-3.8941176470588243,
Isaac Guerendo,RB,6.823076923076924,-3.935746606334842,167.0
Jalen Tolbert,WR,7.5,-3.966666666666667,
Drake Maye,QB,15.01076923076923,-3.9798974358974366,111.0
Grant Calcaterra,TE,3.4785714285714286,-3.980252100840337,
Tanner Hudson,TE,3.4444444444444446,-4.014379084967321,
Charlie Kolar,TE,3.4,-4.058823529411766,
Trevor Lawrence,QB,14.87,-4.120666666666667,173.0
Nick Vannett,TE,3.3333333333333335,-4.125490196078433,
Bryce Young,QB,14.858571428571429,-4.132095238095237,157.0
Cedric Tillman,WR,7.322222222222223,-4.144444444444444,
Erick All,TE,3.225,-4.233823529411765,
Dawson Knox,TE,3.211764705882353,-4.247058823529413,
Josh Whyle,TE,3.1999999999999997,-4.258823529411766,
Christian Kirk,WR,7.175000000000001,-4.291666666666666,194.0
Demario Douglas,WR,7.16875,-4.297916666666667,
Matthew Stafford,QB,14.683333333333334,-4.307333333333332,150.0
Brandon Aiyuk,WR,7.128571428571429,-4.338095238095238,163.0
Daniel Jones,QB,14.63,-4.360666666666665,28.0
Rome Odunze,WR,7.052941176470589,-4.413725490196078,81.0
Nate Adkins,TE,3.0416666666666665,-4.417156862745099,
Jalen Coker,WR,6.96,-4.506666666666667,
Tanner McKee,QB,14.41,-4.580666666666666,
Ray Davis,RB,6.1684210526315795,-4.590402476780186,179.0
Brock Wright,TE,2.85,-4.608823529411765,20.0
C.J. Stroud,QB,14.361052631578948,-4.629614035087718,132.0
Johnny Mundt,TE,2.8214285714285716,-4.637394957983194,
Ben Sinnott,TE,2.8200000000000003,-4.6388235294117655,
DeAndre Hopkins,WR,6.810526315789474,-4.656140350877193,151.0
Elijah Higgins,TE,2.8000000000000003,-4.658823529411766,159.0
Daniel Bellinger,TE,2.7857142857142856,-4.67310924369748,
Sincere McCormick,RB,6.050000000000001,-4.708823529411765,
Amari Cooper,WR,6.7375,-4.729166666666667,116.0
Adam Trautman,TE,2.7142857142857144,-4.744537815126051,
Devin Singletary,RB,6.006666666666666,-4.7521568627451,
Shane Zylstra,TE,2.7,-4.758823529411766,
Xavier Legette,WR,6.706666666666667,-4.76,58.0
Ray-Ray McCloud,WR,6.676470588235294,-4.790196078431372,
Eric Saubert,TE,2.6500000000000004,-4.808823529411765,
Miles Sanders,RB,5.936363636363637,-4.822459893048128,
Darnell Washington,TE,2.6357142857142857,-4.8231092436974805,
Chris Manhertz,TE,2.625,-4.833823529411766,166.0
Harrison Bryant,TE,2.62,-4.838823529411766,
Connor Heyward,TE,2.6,-4.858823529411765,
Marvin Mims,WR,6.605882352941176,-4.860784313725491,199.0
Kayshon Boutte,WR,6.5600000000000005,-4.906666666666666,
Sean Tucker,RB,5.836363636363637,-4.922459893048129,
Kirk Cousins,QB,14.022857142857143,-4.967809523809523,
Roschon Johnson,RB,5.783333333333334,-4.9754901960784315,68.0
